cusip,shares,tm,date
"90297330",285365,2002m12,31dec2002
"90478470",198700,2002m12,31dec2002
"91301710",35200,2002m12,31dec2002
"93932210",154200,2002m12,31dec2002
"94106L10",96625,2002m12,31dec2002
"95081710",7180,2002m12,31dec2002
"00184A10",179475,2003m3,31mar2003
"00244410",100450,2003m3,31mar2003
"02209S10",319495,2003m3,31mar2003
"02581610",43150,2003m3,31mar2003
"03060R10",3235000,2003m3,31mar2003
"03522910",28082,2003m3,31mar2003
"03760A10",686150,2003m3,31mar2003
"05981530",111350,2003m3,31mar2003
"08467010",168,2003m3,31mar2003
"08467020",824,2003m3,31mar2003
"09282810",65225,2003m3,31mar2003
"09367110",280915,2003m3,31mar2003
"11012210",899875,2003m3,31mar2003
"12720930",325325,2003m3,31mar2003
"15670010",64300,2003m3,31mar2003
"16808810",13325,2003m3,31mar2003
"17273710",840900,2003m3,31mar2003
"17296710",7260,2003m3,31mar2003
"18905410",260238,2003m3,31mar2003
"19121610",172175,2003m3,31mar2003
"24950910",28500,2003m3,31mar2003
"28566110",1006525,2003m3,31mar2003
"29101110",19400,2003m3,31mar2003
"29442910",68100,2003m3,31mar2003
"29760210",54600,2003m3,31mar2003
"31340030",278435,2003m3,31mar2003
"31358610",90350,2003m3,31mar2003
"31996310",458226,2003m3,31mar2003
"32096010",406925,2003m3,31mar2003
"36473010",12940,2003m3,31mar2003
"36866W10",2773100,2003m3,31mar2003
"36960410",11758,2003m3,31mar2003
"42823610",70300,2003m3,31mar2003
"43707610",112900,2003m3,31mar2003
"44993410",179100,2003m3,31mar2003
"45775010",260100,2003m3,31mar2003
"46069010",1524700,2003m3,31mar2003
"46072H10",485200,2003m3,31mar2003
"47816010",64740,2003m3,31mar2003
"50075N10",866300,2003m3,31mar2003
"50104410",91625,2003m3,31mar2003
"51384710",732225,2003m3,31mar2003
"53071810",4478482,2003m3,31mar2003
"54927110",100150,2003m3,31mar2003
"55262C10",131125,2003m3,31mar2003
"55284810",103525,2003m3,31mar2003
"57053510",15060,2003m3,31mar2003
"57459910",80700,2003m3,31mar2003
"58013510",130150,2003m3,31mar2003
"58933110",33250,2003m3,31mar2003
"59491810",9420,2003m3,31mar2003
"65408610",362275,2003m3,31mar2003
"71344810",160910,2003m3,31mar2003
"71708110",89150,2003m3,31mar2003
"74271810",18130,2003m3,31mar2003
"78223310",155500,2003m3,31mar2003
"78651420",14650,2003m3,31mar2003
"80412020",176050,2003m3,31mar2003
"80685710",18200,2003m3,31mar2003
"81760N10",236165,2003m3,31mar2003
"89051610",24000,2003m3,31mar2003
"89102710",27700,2003m3,31mar2003
"89604710",31500,2003m3,31mar2003
"89687P10",1139325,2003m3,31mar2003
"89989610",314650,2003m3,31mar2003
"90212410",3520225,2003m3,31mar2003
"90297330",285365,2003m3,31mar2003
"90478470",87600,2003m3,31mar2003
"91301710",35200,2003m3,31mar2003
"93932210",122200,2003m3,31mar2003
"94106L10",47825,2003m3,31mar2003
"95081710",7180,2003m3,31mar2003
"00184A10",127000,2003m6,30jun2003
"02209S10",317445,2003m6,30jun2003
"02581610",43150,2003m6,30jun2003
"03060R10",1959000,2003m6,30jun2003
"03522910",28082,2003m6,30jun2003
"03760A10",695450,2003m6,30jun2003
"05981530",103350,2003m6,30jun2003
"08467010",160,2003m6,30jun2003
"08467020",791,2003m6,30jun2003
"09282810",79975,2003m6,30jun2003
"09367110",222875,2003m6,30jun2003
"11012210",831775,2003m6,30jun2003
"12720930",398325,2003m6,30jun2003
"15670010",59900,2003m6,30jun2003
"16808810",13825,2003m6,30jun2003
"17296710",4760,2003m6,30jun2003
"18905410",314088,2003m6,30jun2003
"19121610",180875,2003m6,30jun2003
"28566110",887875,2003m6,30jun2003
"29101110",14300,2003m6,30jun2003
"29442910",63800,2003m6,30jun2003
"29760210",52600,2003m6,30jun2003
"31340030",327335,2003m6,30jun2003
"31358610",91750,2003m6,30jun2003
"31996310",430025,2003m6,30jun2003
"32096010",422875,2003m6,30jun2003
"36473010",12940,2003m6,30jun2003
"36866W10",1431900,2003m6,30jun2003
"36960410",11450,2003m6,30jun2003
"43707610",62900,2003m6,30jun2003
"44993410",179100,2003m6,30jun2003
"46069010",1421125,2003m6,30jun2003
"46072H10",511900,2003m6,30jun2003
"47816010",65740,2003m6,30jun2003
"50075N10",1478000,2003m6,30jun2003
"50104410",91625,2003m6,30jun2003
"51384710",757425,2003m6,30jun2003
"53071810",4390161,2003m6,30jun2003
"54927110",102250,2003m6,30jun2003
"55262C10",136125,2003m6,30jun2003
"55284810",109325,2003m6,30jun2003
"57053510",12310,2003m6,30jun2003
"57459910",75400,2003m6,30jun2003
"58013510",90150,2003m6,30jun2003
"58933110",31050,2003m6,30jun2003
"59491810",110220,2003m6,30jun2003
"65408610",222275,2003m6,30jun2003
"71344810",161410,2003m6,30jun2003
"71708110",127550,2003m6,30jun2003
"74271810",18130,2003m6,30jun2003
"78223310",161000,2003m6,30jun2003
"78651420",14650,2003m6,30jun2003
"80412020",171650,2003m6,30jun2003
"81760N10",236165,2003m6,30jun2003
"89051610",24720,2003m6,30jun2003
"89102710",27700,2003m6,30jun2003
"89604710",29300,2003m6,30jun2003
"89687P10",1025325,2003m6,30jun2003
"89989610",319550,2003m6,30jun2003
"90212410",3533825,2003m6,30jun2003
"90297330",285365,2003m6,30jun2003
"90478470",168000,2003m6,30jun2003
"91301710",35500,2003m6,30jun2003
"93932210",122200,2003m6,30jun2003
"94106L10",43925,2003m6,30jun2003
"95081710",7020,2003m6,30jun2003
"98302410",4800,2003m6,30jun2003
"02209S10",288885,2003m9,30sep2003
"02581610",28150,2003m9,30sep2003
"03060R10",2169100,2003m9,30sep2003
"03522910",28082,2003m9,30sep2003
"03760A10",490450,2003m9,30sep2003
"05981530",68350,2003m9,30sep2003
"08467010",170,2003m9,30sep2003
"08467020",831,2003m9,30sep2003
"09282810",79975,2003m9,30sep2003
"09367110",195875,2003m9,30sep2003
"11012210",674175,2003m9,30sep2003
"12720930",327325,2003m9,30sep2003
"15670010",63100,2003m9,30sep2003
"16808810",13825,2003m9,30sep2003
"18905410",441088,2003m9,30sep2003
"19121610",173175,2003m9,30sep2003
"28566110",715075,2003m9,30sep2003
"29101110",14300,2003m9,30sep2003
"29442910",69100,2003m9,30sep2003
"29760210",55800,2003m9,30sep2003
"31340030",287027,2003m9,30sep2003
"31358610",81750,2003m9,30sep2003
"31996310",367425,2003m9,30sep2003
"32096010",422875,2003m9,30sep2003
"36473010",12940,2003m9,30sep2003
"36866W10",384000,2003m9,30sep2003
"36960410",11050,2003m9,30sep2003
"44993410",107400,2003m9,30sep2003
"46069010",962325,2003m9,30sep2003
"46072H10",343700,2003m9,30sep2003
"47816010",62740,2003m9,30sep2003
"50075N10",1340400,2003m9,30sep2003
"51384710",726125,2003m9,30sep2003
"53071810",3200561,2003m9,30sep2003
"54927110",42250,2003m9,30sep2003
"55262C10",66125,2003m9,30sep2003
"55284810",89325,2003m9,30sep2003
"57053510",5560,2003m9,30sep2003
"57459910",79200,2003m9,30sep2003
"58933110",32400,2003m9,30sep2003
"59491810",110220,2003m9,30sep2003
"65408610",162275,2003m9,30sep2003
"71344810",106410,2003m9,30sep2003
"71708110",127550,2003m9,30sep2003
"74271810",18030,2003m9,30sep2003
"78223310",82500,2003m9,30sep2003
"80412020",171650,2003m9,30sep2003
"81760N10",170865,2003m9,30sep2003
"87254010",97500,2003m9,30sep2003
"89102710",27700,2003m9,30sep2003
"89604710",31500,2003m9,30sep2003
"89687P10",745325,2003m9,30sep2003
"89989610",189550,2003m9,30sep2003
"90212410",2475500,2003m9,30sep2003
"90297330",215365,2003m9,30sep2003
"90478470",18000,2003m9,30sep2003
"93114210",3600,2003m9,30sep2003
"93932210",82200,2003m9,30sep2003
"94106L10",46625,2003m9,30sep2003
"95081710",7020,2003m9,30sep2003
"98302410",4800,2003m9,30sep2003
"02209S10",276725,2003m12,31dec2003
"02581610",28000,2003m12,31dec2003
"03060R10",1841700,2003m12,31dec2003
"03522910",28082,2003m12,31dec2003
"03760A10",468450,2003m12,31dec2003
"05981530",49950,2003m12,31dec2003
"08467010",170,2003m12,31dec2003
"08467020",841,2003m12,31dec2003
"09282810",80975,2003m12,31dec2003
"09367110",165875,2003m12,31dec2003
"11012210",692375,2003m12,31dec2003
"12720930",327325,2003m12,31dec2003
"15670010",64100,2003m12,31dec2003
"16808810",15125,2003m12,31dec2003
"18905410",443288,2003m12,31dec2003
"19121610",326380,2003m12,31dec2003
"28566110",655075,2003m12,31dec2003
"29101110",14300,2003m12,31dec2003
"29442910",69100,2003m12,31dec2003
"29760210",55800,2003m12,31dec2003
"31340030",303127,2003m12,31dec2003
"31358610",71750,2003m12,31dec2003
"31996310",368925,2003m12,31dec2003
"32096010",653400,2003m12,31dec2003
"35843810",791500,2003m12,31dec2003
"36473010",13940,2003m12,31dec2003
"36866W10",348000,2003m12,31dec2003
"36960410",11050,2003m12,31dec2003
"46069010",960425,2003m12,31dec2003
"46072H10",323700,2003m12,31dec2003
"47816010",105540,2003m12,31dec2003
"50075N10",1239100,2003m12,31dec2003
"51384710",751325,2003m12,31dec2003
"52728810",49300,2003m12,31dec2003
"53071810",3479061,2003m12,31dec2003
"54927110",42250,2003m12,31dec2003
"55262C10",66125,2003m12,31dec2003
"55284810",89325,2003m12,31dec2003
"57053510",5160,2003m12,31dec2003
"57459910",69200,2003m12,31dec2003
"58933110",32400,2003m12,31dec2003
"59491810",110220,2003m12,31dec2003
"63501710",39200,2003m12,31dec2003
"65408610",162275,2003m12,31dec2003
"71344810",106410,2003m12,31dec2003
"71708110",127550,2003m12,31dec2003
"74271810",19930,2003m12,31dec2003
"78223310",58000,2003m12,31dec2003
"78387G10",8421,2003m12,31dec2003
"80412020",171650,2003m12,31dec2003
"87254010",99500,2003m12,31dec2003
"88731710",132100,2003m12,31dec2003
"89102710",27700,2003m12,31dec2003
"89604710",30500,2003m12,31dec2003
"89687P10",625325,2003m12,31dec2003
"89989610",191050,2003m12,31dec2003
"90212410",1927900,2003m12,31dec2003
"90297330",185365,2003m12,31dec2003
"90478470",136050,2003m12,31dec2003
"92343V10",5856,2003m12,31dec2003
"93932210",41200,2003m12,31dec2003
"94106L10",19925,2003m12,31dec2003
"95081710",7020,2003m12,31dec2003
"98302410",4800,2003m12,31dec2003
"02209S10",254869,2004m3,31mar2004
"03060R10",2245850,2004m3,31mar2004
"03522910",28082,2004m3,31mar2004
"03760A10",216300,2004m3,31mar2004
"05981530",28500,2004m3,31mar2004
"08467010",170,2004m3,31mar2004
"08467020",841,2004m3,31mar2004
"09282810",80975,2004m3,31mar2004
"09367110",165875,2004m3,31mar2004
"11012210",827650,2004m3,31mar2004
"12720930",290325,2004m3,31mar2004
"15670010",64100,2004m3,31mar2004
"16808810",15125,2004m3,31mar2004
"18905410",525488,2004m3,31mar2004
"19121610",864105,2004m3,31mar2004
"28566110",512275,2004m3,31mar2004
"29101110",14300,2004m3,31mar2004
"29442910",74100,2004m3,31mar2004
"29760210",55800,2004m3,31mar2004
"31340030",363027,2004m3,31mar2004
"31358610",71750,2004m3,31mar2004
"31996310",347625,2004m3,31mar2004
"32096010",758900,2004m3,31mar2004
"35843810",754500,2004m3,31mar2004
"36473010",13940,2004m3,31mar2004
"36960410",11050,2004m3,31mar2004
"43157310",3000,2004m3,31mar2004
"46069010",806125,2004m3,31mar2004
"46072H10",323700,2004m3,31mar2004
"47816010",188440,2004m3,31mar2004
"50075N10",1407600,2004m3,31mar2004
"51384710",853125,2004m3,31mar2004
"52728810",49300,2004m3,31mar2004
"53071810",5385595,2004m3,31mar2004
"54927110",42250,2004m3,31mar2004
"55262C10",46125,2004m3,31mar2004
"55284810",38650,2004m3,31mar2004
"57053510",4760,2004m3,31mar2004
"57459910",68200,2004m3,31mar2004
"58933110",32800,2004m3,31mar2004
"59491810",111670,2004m3,31mar2004
"65408610",162275,2004m3,31mar2004
"71344810",106410,2004m3,31mar2004
"71708110",127550,2004m3,31mar2004
"74271810",19930,2004m3,31mar2004
"78223310",8000,2004m3,31mar2004
"78387G10",8421,2004m3,31mar2004
"87254010",101500,2004m3,31mar2004
"88731710",114100,2004m3,31mar2004
"89102710",27100,2004m3,31mar2004
"89604710",27500,2004m3,31mar2004
"89687P10",625325,2004m3,31mar2004
"90212410",1323600,2004m3,31mar2004
"90297330",185365,2004m3,31mar2004
"90478470",148850,2004m3,31mar2004
"92343V10",5856,2004m3,31mar2004
"93114210",4600,2004m3,31mar2004
"93932210",41200,2004m3,31mar2004
"94106L10",15925,2004m3,31mar2004
"95081710",7020,2004m3,31mar2004
"02209S10",254569,2004m6,30jun2004
"03060R10",2850700,2004m6,30jun2004
"03522910",27390,2004m6,30jun2004
"03760A10",20000,2004m6,30jun2004
"05981530",28500,2004m6,30jun2004
"08467010",172,2004m6,30jun2004
"08467020",841,2004m6,30jun2004
"09282810",80975,2004m6,30jun2004
"09367110",165875,2004m6,30jun2004
"11012210",847450,2004m6,30jun2004
"12720930",288525,2004m6,30jun2004
"16808810",15125,2004m6,30jun2004
"18905410",550688,2004m6,30jun2004
"19121610",1075405,2004m6,30jun2004
"28566110",508875,2004m6,30jun2004
"29442910",74100,2004m6,30jun2004
"29760210",55800,2004m6,30jun2004
"31340030",386747,2004m6,30jun2004
"31358610",71750,2004m6,30jun2004
"31996310",337825,2004m6,30jun2004
"32096010",758900,2004m6,30jun2004
"36473010",13940,2004m6,30jun2004
"46069010",1000125,2004m6,30jun2004
"46072H10",323700,2004m6,30jun2004
"47816010",183440,2004m6,30jun2004
"49455P10",39100,2004m6,30jun2004
"50075N10",1651700,2004m6,30jun2004
"51384710",905025,2004m6,30jun2004
"52728810",48900,2004m6,30jun2004
"53071810",7813683,2004m6,30jun2004
"53071910",18080,2004m6,30jun2004
"54927110",42250,2004m6,30jun2004
"55262C10",46125,2004m6,30jun2004
"55284810",38650,2004m6,30jun2004
"57053510",4460,2004m6,30jun2004
"57459910",8800,2004m6,30jun2004
"58933110",30800,2004m6,30jun2004
"59491810",111870,2004m6,30jun2004
"65408610",162275,2004m6,30jun2004
"71344810",106410,2004m6,30jun2004
"71708110",127750,2004m6,30jun2004
"74271810",39315,2004m6,30jun2004
"87254010",101000,2004m6,30jun2004
"88731710",57300,2004m6,30jun2004
"89102710",14300,2004m6,30jun2004
"89604710",10500,2004m6,30jun2004
"89687P10",595325,2004m6,30jun2004
"90212410",1038300,2004m6,30jun2004
"90297330",182466,2004m6,30jun2004
"90478470",183850,2004m6,30jun2004
"92343V10",5528,2004m6,30jun2004
"93114210",4600,2004m6,30jun2004
"93932210",40000,2004m6,30jun2004
"95081710",6790,2004m6,30jun2004
"02209S10",253084,2004m9,30sep2004
"03060R10",3020850,2004m9,30sep2004
"03522910",27390,2004m9,30sep2004
"05981530",12200,2004m9,30sep2004
"08467010",172,2004m9,30sep2004
"08467020",856,2004m9,30sep2004
"09282810",80400,2004m9,30sep2004
"09367110",165500,2004m9,30sep2004
"11012210",928600,2004m9,30sep2004
"12720930",288275,2004m9,30sep2004
"14149Y10",299375,2004m9,30sep2004
"16808810",14950,2004m9,30sep2004
"18905410",525138,2004m9,30sep2004
"19121610",1585655,2004m9,30sep2004
"28566110",486400,2004m9,30sep2004
"29442910",77300,2004m9,30sep2004
"29760210",55800,2004m9,30sep2004
"31340030",366375,2004m9,30sep2004
"31358610",71630,2004m9,30sep2004
"31996310",335375,2004m9,30sep2004
"32096010",776200,2004m9,30sep2004
"36473010",13940,2004m9,30sep2004
"46069010",1327300,2004m9,30sep2004
"46072H10",226475,2004m9,30sep2004
"47816010",183540,2004m9,30sep2004
"49455P10",39300,2004m9,30sep2004
"50075N10",1718900,2004m9,30sep2004
"51384710",941950,2004m9,30sep2004
"52728810",48900,2004m9,30sep2004
"53071810",8968293,2004m9,30sep2004
"55262C10",45950,2004m9,30sep2004
"55284810",38525,2004m9,30sep2004
"57053510",3260,2004m9,30sep2004
"58933110",30800,2004m9,30sep2004
"59491810",111720,2004m9,30sep2004
"65408610",161975,2004m9,30sep2004
"71344810",106470,2004m9,30sep2004
"71708110",137750,2004m9,30sep2004
"74271810",39315,2004m9,30sep2004
"78387G10",8105,2004m9,30sep2004
"87254010",102000,2004m9,30sep2004
"89102710",14300,2004m9,30sep2004
"89604710",10500,2004m9,30sep2004
"89687P10",583775,2004m9,30sep2004
"90212410",977200,2004m9,30sep2004
"90297330",178894,2004m9,30sep2004
"90478470",347000,2004m9,30sep2004
"92343V10",5528,2004m9,30sep2004
"93114210",4600,2004m9,30sep2004
"93932210",40000,2004m9,30sep2004
"95081710",6790,2004m9,30sep2004
"02209S10",223584,2004m12,31dec2004
"03060R10",2668250,2004m12,31dec2004
"03522910",27390,2004m12,31dec2004
"08467010",173,2004m12,31dec2004
"08467020",881,2004m12,31dec2004
"09367110",165500,2004m12,31dec2004
"11012210",923500,2004m12,31dec2004
"14149Y10",328350,2004m12,31dec2004
"16808810",14950,2004m12,31dec2004
"18905410",340738,2004m12,31dec2004
"19121610",2165255,2004m12,31dec2004
"19416210",105700,2004m12,31dec2004
"28566110",470200,2004m12,31dec2004
"29442910",76900,2004m12,31dec2004
"29760210",55800,2004m12,31dec2004
"31340030",356014,2004m12,31dec2004
"31358610",71630,2004m12,31dec2004
"31677310",46300,2004m12,31dec2004
"31996310",335275,2004m12,31dec2004
"32096010",64500,2004m12,31dec2004
"36473010",13940,2004m12,31dec2004
"46069010",1320300,2004m12,31dec2004
"47816010",181440,2004m12,31dec2004
"49455P10",39300,2004m12,31dec2004
"50075N10",1492900,2004m12,31dec2004
"51384710",931850,2004m12,31dec2004
"52728810",48900,2004m12,31dec2004
"53071810",8000093,2004m12,31dec2004
"55262C10",45950,2004m12,31dec2004
"55284810",37725,2004m12,31dec2004
"57053510",3260,2004m12,31dec2004
"57174810",362450,2004m12,31dec2004
"58933110",27800,2004m12,31dec2004
"59491810",111720,2004m12,31dec2004
"71344810",106470,2004m12,31dec2004
"71708110",1155100,2004m12,31dec2004
"74271810",39315,2004m12,31dec2004
"78387G10",8105,2004m12,31dec2004
"87254010",102000,2004m12,31dec2004
"89102710",14300,2004m12,31dec2004
"89604710",9500,2004m12,31dec2004
"89687P10",503775,2004m12,31dec2004
"90212410",708050,2004m12,31dec2004
"90297330",178894,2004m12,31dec2004
"93114210",4600,2004m12,31dec2004
"93932210",40000,2004m12,31dec2004
"95081710",6640,2004m12,31dec2004
"02209S10",224084,2005m3,31mar2005
"03060R10",2576050,2005m3,31mar2005
"03522910",75190,2005m3,31mar2005
"08467010",173,2005m3,31mar2005
"08467020",871,2005m3,31mar2005
"09367110",165500,2005m3,31mar2005
"11012210",931100,2005m3,31mar2005
"14149Y10",288200,2005m3,31mar2005
"16808810",14950,2005m3,31mar2005
"18905410",339638,2005m3,31mar2005
"19121610",2245355,2005m3,31mar2005
"19416210",105700,2005m3,31mar2005
"22286210",10919,2005m3,31mar2005
"28566110",469100,2005m3,31mar2005
"29442910",76900,2005m3,31mar2005
"29760210",55300,2005m3,31mar2005
"31340030",357609,2005m3,31mar2005
"31358610",92630,2005m3,31mar2005
"31677310",46300,2005m3,31mar2005
"31996310",336325,2005m3,31mar2005
"36473010",13940,2005m3,31mar2005
"46069010",1332700,2005m3,31mar2005
"47816010",127640,2005m3,31mar2005
"49455P10",39200,2005m3,31mar2005
"50075N10",1572400,2005m3,31mar2005
"51384710",988550,2005m3,31mar2005
"52728810",73350,2005m3,31mar2005
"53071810",8193393,2005m3,31mar2005
"55262C10",45950,2005m3,31mar2005
"55284810",37625,2005m3,31mar2005
"57053510",3260,2005m3,31mar2005
"57174810",262050,2005m3,31mar2005
"59491810",110820,2005m3,31mar2005
"71344810",106470,2005m3,31mar2005
"71708110",1228000,2005m3,31mar2005
"74271810",39315,2005m3,31mar2005
"87254010",101200,2005m3,31mar2005
"89102710",14300,2005m3,31mar2005
"89604710",9500,2005m3,31mar2005
"89687P10",473775,2005m3,31mar2005
"90212410",706550,2005m3,31mar2005
"90297330",178894,2005m3,31mar2005
"93114210",4600,2005m3,31mar2005
"93932210",40000,2005m3,31mar2005
"95081710",6640,2005m3,31mar2005
"02209S10",221949,2005m6,30jun2005
"03060R10",2517000,2005m6,30jun2005
"03522910",226925,2005m6,30jun2005
"08467010",173,2005m6,30jun2005
"08467020",871,2005m6,30jun2005
"09367110",163050,2005m6,30jun2005
"11012210",921500,2005m6,30jun2005
"14149Y10",285750,2005m6,30jun2005
"16808810",14850,2005m6,30jun2005
"18905410",295788,2005m6,30jun2005
"19121610",2330055,2005m6,30jun2005
"19416210",102200,2005m6,30jun2005
"28566110",459200,2005m6,30jun2005
"29442910",76900,2005m6,30jun2005
"29760210",46500,2005m6,30jun2005
"31340030",363744,2005m6,30jun2005
"31358610",101230,2005m6,30jun2005
"31677310",46300,2005m6,30jun2005
"31996310",389350,2005m6,30jun2005
"36473010",13940,2005m6,30jun2005
"46069010",1321600,2005m6,30jun2005
"47816010",126825,2005m6,30jun2005
"49455P10",39200,2005m6,30jun2005
"50075N10",1727500,2005m6,30jun2005
"51384710",1078838,2005m6,30jun2005
"52728810",73350,2005m6,30jun2005
"53071810",8074693,2005m6,30jun2005
"55262C10",45950,2005m6,30jun2005
"55284810",36225,2005m6,30jun2005
"57053510",2660,2005m6,30jun2005
"57174810",257350,2005m6,30jun2005
"59491810",150820,2005m6,30jun2005
"71344810",106470,2005m6,30jun2005
"71708110",1214600,2005m6,30jun2005
"74271810",38380,2005m6,30jun2005
"87254010",98200,2005m6,30jun2005
"89102710",14300,2005m6,30jun2005
"89604710",9000,2005m6,30jun2005
"89687P10",472200,2005m6,30jun2005
"90212410",811050,2005m6,30jun2005
"90297330",178894,2005m6,30jun2005
"92552430",209000,2005m6,30jun2005
"93114210",146700,2005m6,30jun2005
"93932210",40000,2005m6,30jun2005
"95081710",6640,2005m6,30jun2005
"02209S10",175949,2005m9,30sep2005
"03060R10",2509400,2005m9,30sep2005
"03522910",248125,2005m9,30sep2005
"08467010",160,2005m9,30sep2005
"08467020",871,2005m9,30sep2005
"09367110",326100,2005m9,30sep2005
"11012210",915800,2005m9,30sep2005
"12720930",263475,2005m9,30sep2005
"14149Y10",284050,2005m9,30sep2005
"16808810",14850,2005m9,30sep2005
"18905410",295788,2005m9,30sep2005
"19121610",2323355,2005m9,30sep2005
"19416210",102200,2005m9,30sep2005
"25468Y10",803055,2005m9,30sep2005
"28566110",459200,2005m9,30sep2005
"29442910",67900,2005m9,30sep2005
"29760210",40000,2005m9,30sep2005
"31340030",363405,2005m9,30sep2005
"31358610",101230,2005m9,30sep2005
"31677310",41600,2005m9,30sep2005
"31996310",380950,2005m9,30sep2005
"36473010",13940,2005m9,30sep2005
"46069010",1341600,2005m9,30sep2005
"47816010",126325,2005m9,30sep2005
"49455P10",31000,2005m9,30sep2005
"50075N10",1841500,2005m9,30sep2005
"51384710",1061338,2005m9,30sep2005
"52728810",68100,2005m9,30sep2005
"53071810",8096513,2005m9,30sep2005
"55262C10",40950,2005m9,30sep2005
"55284810",36225,2005m9,30sep2005
"57053510",2560,2005m9,30sep2005
"57174810",238250,2005m9,30sep2005
"59491810",150820,2005m9,30sep2005
"63501710",107900,2005m9,30sep2005
"71344810",106470,2005m9,30sep2005
"71708110",1216600,2005m9,30sep2005
"74271810",38380,2005m9,30sep2005
"87254010",92200,2005m9,30sep2005
"89102710",14300,2005m9,30sep2005
"89604710",9000,2005m9,30sep2005
"89687P10",372200,2005m9,30sep2005
"90212410",919550,2005m9,30sep2005
"90297330",178894,2005m9,30sep2005
"90478470",397950,2005m9,30sep2005
"92552430",209000,2005m9,30sep2005
"93114210",411550,2005m9,30sep2005
"93932210",40000,2005m9,30sep2005
"95081710",6640,2005m9,30sep2005
"02209S10",120259,2005m12,30dec2005
"03060R10",2358600,2005m12,30dec2005
"03522910",212025,2005m12,30dec2005
"08467010",157,2005m12,30dec2005
"08467020",800,2005m12,30dec2005
"09367110",300100,2005m12,30dec2005
"11012210",899900,2005m12,30dec2005
"12720930",252475,2005m12,30dec2005
"14149Y10",3150,2005m12,30dec2005
"16808810",14850,2005m12,30dec2005
"18905410",285288,2005m12,30dec2005
"19121610",2226000,2005m12,30dec2005
"19416210",102200,2005m12,30dec2005
"25468Y10",768486,2005m12,30dec2005
"28566110",419500,2005m12,30dec2005
"29442910",64900,2005m12,30dec2005
"29760210",37500,2005m12,30dec2005
"31340030",358405,2005m12,30dec2005
"31358610",101230,2005m12,30dec2005
"31996310",356650,2005m12,30dec2005
"36473010",13940,2005m12,30dec2005
"43707610",50950,2005m12,30dec2005
"46069010",1295200,2005m12,30dec2005
"47816010",124705,2005m12,30dec2005
"49455P10",28200,2005m12,30dec2005
"50075N10",1840900,2005m12,30dec2005
"51384710",1073038,2005m12,30dec2005
"52728810",66450,2005m12,30dec2005
"53071810",7864306,2005m12,30dec2005
"55262C10",40950,2005m12,30dec2005
"55284810",31125,2005m12,30dec2005
"57053510",2560,2005m12,30dec2005
"57174810",231350,2005m12,30dec2005
"59491810",150820,2005m12,30dec2005
"63501710",107900,2005m12,30dec2005
"71344810",96470,2005m12,30dec2005
"71708110",1477800,2005m12,30dec2005
"74271810",38380,2005m12,30dec2005
"87254010",82700,2005m12,30dec2005
"89102710",14300,2005m12,30dec2005
"89604710",8000,2005m12,30dec2005
"89687P10",321700,2005m12,30dec2005
"90212410",865650,2005m12,30dec2005
"90297330",177394,2005m12,30dec2005
"90478470",325450,2005m12,30dec2005
"92552430",257200,2005m12,30dec2005
"93114210",398600,2005m12,30dec2005
"93932210",40000,2005m12,30dec2005
"95081710",6640,2005m12,30dec2005
"02209S10",120420,2006m3,31mar2006
"03060R10",1790500,2006m3,31mar2006
"03522910",219065,2006m3,31mar2006
"08467010",157,2006m3,31mar2006
"08467020",785,2006m3,31mar2006
"09367110",300100,2006m3,31mar2006
"11012210",429750,2006m3,31mar2006
"12485720",128000,2006m3,31mar2006
"12720930",188811,2006m3,31mar2006
"16808810",14670,2006m3,31mar2006
"18905410",283573,2006m3,31mar2006
"19121610",2238422,2006m3,31mar2006
"19416210",102200,2006m3,31mar2006
"25468Y10",746122,2006m3,31mar2006
"28566110",218247,2006m3,31mar2006
"29442910",64200,2006m3,31mar2006
"29760210",36500,2006m3,31mar2006
"31340030",331121,2006m3,31mar2006
"31358610",101230,2006m3,31mar2006
"31996310",356015,2006m3,31mar2006
"36473010",14460,2006m3,31mar2006
"43707610",50750,2006m3,31mar2006
"44993410",74800,2006m3,31mar2006
"46069010",1286896,2006m3,31mar2006
"47816010",325725,2006m3,31mar2006
"49455P10",28200,2006m3,31mar2006
"50075N10",1904483,2006m3,31mar2006
"51384710",1065644,2006m3,31mar2006
"52728810",65700,2006m3,31mar2006
"53071810",7941244,2006m3,31mar2006
"55262C10",40950,2006m3,31mar2006
"55284810",30925,2006m3,31mar2006
"57053510",2560,2006m3,31mar2006
"57174810",178600,2006m3,31mar2006
"59491810",150620,2006m3,31mar2006
"71344810",96320,2006m3,31mar2006
"71708110",1299150,2006m3,31mar2006
"74271810",39540,2006m3,31mar2006
"87254010",82400,2006m3,31mar2006
"89102710",14300,2006m3,31mar2006
"89604710",8000,2006m3,31mar2006
"89687P10",88744,2006m3,31mar2006
"90212410",863072,2006m3,31mar2006
"90297330",176163,2006m3,31mar2006
"90478470",298025,2006m3,31mar2006
"92553P20",128600,2006m3,31mar2006
"93114210",399001,2006m3,31mar2006
"93932210",40000,2006m3,31mar2006
"95081710",6980,2006m3,31mar2006
"02209S10",118714,2006m6,30jun2006
"03060R10",1766300,2006m6,30jun2006
"03522910",341965,2006m6,30jun2006
"08467010",162,2006m6,30jun2006
"08467020",785,2006m6,30jun2006
"09367110",300100,2006m6,30jun2006
"11012210",428550,2006m6,30jun2006
